timestamp,x,y,z
1711035666725,9.442732,-1.3599066,-0.50757074
1711035666735,9.701305,-1.4221559,-0.79487497
1711035666745,9.739613,-1.5131354,-1.1348516
1711035666755,9.792285,-1.4748282,-0.79487497
1711035666765,9.629479,-1.541866,-0.521936
1711035666775,9.409213,-1.5035586,-0.29688102
1711035666785,9.394848,-1.5753847,-0.16759412
1711035666796,9.457097,-1.4939818,-0.40701428
1711035666805,9.677363,-1.6136919,-0.7326257
1711035666815,9.801862,-1.6807296,-0.7374141
1711035666825,9.9550905,-1.6711528,-1.1444284
1711035666835,9.945514,-1.5514427,-1.3838485
1711035666845,9.983821,-1.4460979,-1.2018893
1711035666855,9.80665,-1.388637,-1.0773908
1711035666865,9.615114,-1.2449849,-0.7326257
1711035666875,9.576807,-1.2976574,-0.5746084
1711035666885,9.5385,-1.292869,-0.62249243
1711035666895,9.68694,-1.364695,-0.61291564
1711035666905,9.792285,-1.4700398,-0.6991069
1711035666915,9.605537,-1.6184803,-0.9672575
1711035666925,9.481039,-1.6663644,-0.8283938
1711035666935,9.509769,-1.757344,-0.7230489
1711035666945,9.610326,-1.8004397,-0.5410896
1711035666955,9.457097,-1.5993267,-0.81881696
1711035666965,9.533711,-1.4700398,-0.6943185
1711035666975,9.428367,-1.2593501,-0.7661445
1711035666985,9.528923,-1.1587936,-0.6847417
1711035666996,9.610326,-1.043872,-0.5602432
1711035667006,9.758766,-1.1875241,-0.6512229
1711035667015,9.763555,-1.3359646,-0.8523358
1711035667025,9.868899,-1.484405,-0.91937345
1711035667036,9.916783,-1.6807296,-0.8858546
1711035667045,9.749189,-1.6424223,-1.1300632
1711035667055,9.758766,-1.5466543,-1.1827357
1711035667066,9.730036,-1.5227122,-0.9528923
1711035667075,9.715671,-1.4508862,-0.8379706
1711035667085,9.835381,-1.3982137,-0.60812724
1711035667096,9.710882,-1.5035586,-0.47884035
1711035667105,9.720459,-1.7238252,-0.35913026
1711035667114,9.600749,-1.7429788,-0.41180268
1711035667126,9.677363,-1.8770541,-0.4357447
1711035667134,9.648633,-1.8052281,-0.39264908
1711035667144,9.433155,-1.6376339,-0.25857377
1711035667155,9.552865,-1.484405,-0.19632454
1711035667164,9.476251,-1.340753,0.009576807
1711035667175,9.457097,-1.2593501,0.21068975
1711035667185,9.399636,-1.2258313,0.19153613
1711035667195,9.490616,-1.2306197,-0.24899697
1711035667205,9.552865,-1.2641385,-0.4261679
1711035667216,9.605537,-1.3838485,-0.51235914
1711035667225,9.423578,-1.3551182,-0.59855044
1711035667234,9.428367,-1.316811,-0.46447513
1711035667246,9.696517,-1.2785037,-0.7422025
1711035667254,9.758766,-1.388637,-0.7517793
1711035667264,10.031705,-1.4077905,-0.866701
1711035667275,10.007763,-1.4796166,-1.3072342
1711035667284,10.089166,-1.5227122,-1.4413095
1711035667294,10.093954,-1.5227122,-1.2641385
1711035667305,10.041282,-1.6376339,-1.0821792
1711035667314,9.964667,-1.5945383,-1.043872
1711035667324,9.864111,-1.6089035,-0.90500826
1711035667335,9.830592,-1.5227122,-0.7565677
1711035667344,9.739613,-1.5562311,-0.9720459
1711035667354,9.581595,-1.484405,-0.92416185
1711035667365,9.423578,-1.3934253,-0.92895025
1711035667374,9.275137,-1.3215994,-0.5410896
1711035667384,9.222465,-1.3455414,-0.4261679
1711035667395,9.141062,-1.2497733,-0.4213795
1711035667404,9.284714,-1.364695,-0.22984336
1711035667414,9.303867,-1.3790601,-0.38307226
1711035667425,9.409213,-1.5370775,-0.6607997
1711035667434,9.65821,-1.5993267,-0.9672575
1711035667444,9.667787,-1.661576,-0.93852705
1711035667455,9.68694,-1.7621324,-0.9624691
1711035667464,9.634268,-1.6184803,-0.82360536
